time,c0,c1,v0,v1,i0,i1
1520753382.03,79,5,8081000,7380000,476000,0
1520753383.03,79,5,8082000,7380000,479000,0
1520753384.04,79,5,8076000,7380000,509000,0
1520753385.05,79,5,8025000,7380000,690000,0
1520753386.06,79,5,8064000,7380000,753000,0
1520753387.06,79,5,8067000,7380000,755000,0
1520753388.07,79,5,8066000,7380000,784000,0
1520753389.08,79,5,8051000,7380000,658000,0
1520753390.08,79,5,8047000,7380000,832000,0
1520753391.09,79,5,8064000,7380000,678000,0
1520753392.1,79,5,8070000,7380000,604000,0
1520753393.11,79,5,8072000,7380000,533000,0
1520753394.11,79,5,8075000,7380000,490000,0
1520753395.12,79,5,8078000,7380000,477000,0
1520753396.13,79,5,8077000,7380000,481000,0
1520753397.13,79,5,8071000,7380000,554000,0
1520753398.14,79,5,8069000,7380000,561000,0
1520753399.15,79,5,8060000,7380000,532000,0
1520753400.16,79,5,8068000,7380000,510000,0
1520753401.16,79,5,8025000,7380000,822000,0
1520753402.17,79,5,8061000,7380000,690000,0
1520753403.18,79,5,8069000,7380000,549000,0
1520753404.19,79,5,8046000,7380000,657000,0
1520753405.2,79,5,8025000,7380000,965000,0
1520753406.21,79,5,8019000,7380000,843000,0
1520753407.21,79,5,8031000,7380000,883000,0
1520753408.22,79,5,8023000,7380000,881000,0
1520753409.24,79,5,8032000,7380000,792000,0
1520753410.24,79,5,8053000,7380000,768000,0
1520753411.25,79,5,8049000,7380000,767000,0
1520753412.26,79,5,8049000,7380000,721000,0
1520753413.26,79,5,8039000,7380000,978000,0
1520753414.27,79,5,8031000,7380000,834000,0
1520753415.28,79,5,8058000,7380000,629000,0
1520753416.29,79,5,8008000,7380000,1110000,0
1520753417.3,79,5,8051000,7380000,758000,0
1520753418.31,79,5,8054000,7380000,602000,0
1520753419.31,79,5,8042000,7380000,773000,0
1520753420.32,79,5,8001000,7380000,1164000,0
1520753421.33,79,5,8044000,7380000,838000,0
1520753422.34,79,5,8032000,7380000,707000,0
1520753423.34,79,5,8034000,7380000,727000,0
1520753424.35,79,5,7973000,7380000,980000,0
1520753425.36,79,5,8019000,7380000,998000,0
