time,c0,c1,v0,v1,i0,i1,cpu_uj,sys_uj
10955.6670902,53,5,7617000,7378000,851000,0,38950346392,47733248408
10956.6784642,53,5,7617000,7378000,844000,0,38952190321,47735417958
10957.690429,53,5,7617000,7378000,834000,0,38954036446,47737591597
10958.7022121,53,5,7603000,7378000,848000,0,38955969364,47739783791
10959.7123201,52,5,7618000,7378000,836000,0,38957811339,47741956698
10960.7223051,52,5,7617000,7378000,835000,0,38959639887,47744096524
10961.7324071,52,5,7615000,7378000,837000,0,38961511220,47746301536
10962.7445691,52,5,7615000,7378000,835000,0,38963359359,47748457353
10963.7557881,52,5,7616000,7378000,848000,0,38965213481,47750668773
10964.7645481,52,5,7617000,7378000,836000,0,38967071325,47752837347
10965.7760181,52,5,7617000,7378000,838000,0,38968934235,47755034729
10966.7862911,52,5,7617000,7378000,836000,0,38970810207,47757225458
10967.796396,52,5,7618000,7378000,835000,0,38972660971,47759392689
10968.8086681,52,5,7618000,7378000,833000,0,38974502336,47761558821
10969.8208232,52,5,7618000,7378000,834000,0,38976352307,47763739540
10970.832231,52,5,7619000,7378000,848000,0,38978209907,47765939242
10971.8402772,52,5,7616000,7378000,843000,0,38980076541,47768113370
10972.8512862,52,5,7616000,7378000,835000,0,38981925474,47770292136
10973.8634882,52,5,7616000,7378000,836000,0,38983791802,47772487992
10974.8740871,52,5,7614000,7378000,845000,0,38985619190,47774649119
10975.883255,52,5,7614000,7378000,833000,0,38987451400,47776790593
10976.8928151,52,5,7612000,7378000,831000,0,38989263651,47778920715
10977.9027181,52,5,7611000,7378000,843000,0,38991187902,47781141534
10978.91223,52,5,7611000,7378000,846000,0,38993026215,47783314319
10979.9256361,52,5,7613000,7378000,834000,0,38994883144,47785495527
10980.9373262,52,5,7613000,7378000,834000,0,38996712485,47787648537
10981.945267,52,5,7610000,7378000,842000,0,38998562516,47789845980
10982.9554272,52,5,7614000,7378000,835000,0,39000389904,47791997036
10983.9664462,52,5,7614000,7378000,840000,0,39002279975,47794221213
10984.9776871,52,5,7614000,7378000,843000,0,39004117251,47796384354
10985.9884381,52,5,7614000,7378000,840000,0,39005928647,47798506785
10986.9993391,52,5,7614000,7378000,840000,0,39007772576,47800687078
